device,base_file,new_file,base_version,new_version,start,end,side,len,fw_file_used,fw_exists,kept_blocks,kept_fraction,contained_in_code_region,overlaps_code_region
DUE6001,DUE6001-D.2.8.2.dat,DUE6001-D.2.8.4.dat,2.8.2,2.8.4,6301,6352,new,51,DUE6001-D.2.8.4.dat,True,10,0.4532591768631813,True,True
DUE6001,DUE6001-D.2.8.2.dat,DUE6001-D.2.8.4.dat,2.8.2,2.8.4,21231,21305,base,74,DUE6001-D.2.8.2.dat,True,13,0.589980869333096,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,6488,6557,base,69,DUE6001-D.2.8.4.dat,True,10,0.4532591768631813,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,24623,24671,new,48,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,27058,27132,new,74,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,27326,27459,new,133,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,29359,29422,new,63,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,34928,35090,new,162,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,True,True
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,35270,36795,base,1525,DUE6001-D.2.8.4.dat,True,10,0.4532591768631813,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,41734,41858,new,124,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,44551,44655,new,104,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,45342,45418,new,76,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,45630,45775,new,145,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.8.4.dat,DUE6001-D.2.8.7.dat,2.8.4,2.8.7,49945,51464,new,1519,DUE6001-D.2.8.7.dat,True,15,0.6707130692982839,False,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,4534,4895,new,361,DUE6001-D.3.0.2.dat,True,15,0.6598788503673154,False,False
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,5094,5344,base,250,DUE6001-D.2.9.3.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,5421,5642,base,221,DUE6001-D.2.9.3.dat,True,15,0.6707130692982839,False,False
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,6072,6300,new,228,DUE6001-D.3.0.2.dat,True,15,0.6598788503673154,True,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,6899,7099,new,200,DUE6001-D.3.0.2.dat,True,15,0.6598788503673154,True,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,7184,7411,new,227,DUE6001-D.3.0.2.dat,True,15,0.6598788503673154,True,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,20103,20996,base,893,DUE6001-D.2.9.3.dat,True,15,0.6707130692982839,False,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,21762,21801,base,39,DUE6001-D.2.9.3.dat,True,15,0.6707130692982839,True,True
DUE6001,DUE6001-D.2.9.3.dat,DUE6001-D.3.0.2.dat,2.9.3,3.0.2,45264,45323,new,59,DUE6001-D.3.0.2.dat,True,15,0.6598788503673154,True,True
DUE6001,DUE6001-D.3.1.0.dat,DUE6001-D.3.2.5.dat,3.1.0,3.2.5,48006,48068,new,62,DUE6001-D.3.2.5.dat,True,17,0.7376937198480127,True,True
DUE6001,DUE6001-D.3.2.6.dat,DUE6001-D.3.3.3.dat,3.2.6,3.3.3,49390,49537,new,147,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.2.6.dat,DUE6001-D.3.3.3.dat,3.2.6,3.3.3,50502,50607,new,105,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,29642,29707,base,65,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,False,False
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,29975,30195,base,220,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,False,False
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,32949,33013,base,64,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,33086,33158,base,72,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,35968,36017,base,49,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,37704,37791,base,87,DUE6001-D.3.3.3.dat,True,18,0.7394733494466353,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,47572,47971,new,399,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,48431,48732,new,301,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,True,True
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,49405,49655,new,250,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,False,False
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,50513,50561,new,53,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,False,False
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,52170,52239,new,69,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,False,False
DUE6001,DUE6001-D.3.3.3.dat,DUE6001-D.3.4.1.dat,3.3.3,3.4.1,52266,52417,new,151,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,False,False
DUE6001,DUE6001-D.3.4.1.dat,DUE6001-D.3.4.4.dat,3.4.1,3.4.4,52168,52237,base,69,DUE6001-D.3.4.1.dat,True,16,0.7046578641778848,False,False
DUE6002,DUE6002-D.3.1.9.dat,DUE6002-D.3.2.6.dat,3.1.9,3.2.6,47695,47962,base,267,DUE6002-D.3.1.9.dat,True,17,0.6313422551046314,False,False
DUE6002,DUE6002-D.3.1.9.dat,DUE6002-D.3.2.6.dat,3.1.9,3.2.6,56903,57124,new,221,DUE6002-D.3.2.6.dat,True,10,0.3665521191294387,False,False
DUE6002,DUE6002-D.3.1.9.dat,DUE6002-D.3.2.6.dat,3.1.9,3.2.6,61638,61707,new,69,DUE6002-D.3.2.6.dat,True,10,0.3665521191294387,False,False
DUE6002,DUE6002-D.3.2.6.dat,DUE6002-D.3.3.0.dat,3.2.6,3.3.0,61573,61716,new,143,DUE6002-D.3.3.0.dat,True,16,0.5838500463259925,False,False
DUE6002,DUE6002-D.3.3.0.dat,DUE6002-D.3.4.0.dat,3.3.0,3.4.0,28190,28238,new,48,DUE6002-D.3.4.0.dat,True,21,0.5989481340569575,True,True
DUE6002,DUE6002-D.3.3.0.dat,DUE6002-D.3.4.0.dat,3.3.0,3.4.0,39959,40281,new,322,DUE6002-D.3.4.0.dat,True,21,0.5989481340569575,True,True
SCE6010,SCE6010-D.3.0.5.dat,SCE6010-D.3.1.3.dat,3.0.5,3.1.3,4257,4354,new,97,SCE6010-D.3.1.3.dat,True,9,0.6417325589531874,False,False
SCE6010,SCE6010-D.3.0.5.dat,SCE6010-D.3.1.3.dat,3.0.5,3.1.3,23283,23568,new,285,SCE6010-D.3.1.3.dat,True,9,0.6417325589531874,True,True
SCE6010,SCE6010-D.3.0.5.dat,SCE6010-D.3.1.3.dat,3.0.5,3.1.3,24681,24756,new,75,SCE6010-D.3.1.3.dat,True,9,0.6417325589531874,True,True
SCE6010,SCE6010-D.3.0.5.dat,SCE6010-D.3.1.3.dat,3.0.5,3.1.3,28983,29073,new,90,SCE6010-D.3.1.3.dat,True,9,0.6417325589531874,False,False
SCE6010,SCE6010-D.3.1.3.dat,SCE6010-D.3.2.0.dat,3.1.3,3.2.0,18167,18244,new,77,SCE6010-D.3.2.0.dat,True,11,0.7171466058973828,False,False
SCE6010,SCE6010-D.3.1.3.dat,SCE6010-D.3.2.0.dat,3.1.3,3.2.0,32809,32925,new,116,SCE6010-D.3.2.0.dat,True,11,0.7171466058973828,True,True
DUE6100,DUE6100-D.4.1.1.dat,DUE6100-D.4.2.0.dat,4.1.1,4.2.0,38042,38109,new,67,DUE6100-D.4.2.0.dat,True,51,0.8643686153744268,True,True
